stage,layer_id,mem_available_bytes,swap_used_bytes,cuda_free_bytes,cuda_total_bytes,torch_allocated_bytes,torch_reserved_bytes,torch_max_allocated_bytes,torch_max_reserved_bytes
prefill,23,3679694848,1924026368,3679694848,7989940224,1201964032,1509949440,1503803392,1509949440
prefill,24,3679694848,1924026368,3679694848,7989940224,1201996800,1509949440,1503803392,1509949440
prefill,25,3679694848,1924026368,3679694848,7989940224,1202029568,1509949440,1503803392,1509949440
prefill,26,3679694848,1924026368,3679694848,7989940224,1202062336,1509949440,1503803392,1509949440
prefill,27,3679694848,1924026368,3679694848,7989940224,1202095104,1509949440,1503803392,1509949440
decode_8_to_9,0,3669630976,1924026368,3669630976,7989940224,1202101760,1509949440,1503803392,1509949440
decode_8_to_9,1,3669630976,1924026368,3669630976,7989940224,1202105856,1509949440,1503803392,1509949440
decode_8_to_9,2,3669630976,1924026368,3669630976,7989940224,1202109952,1509949440,1503803392,1509949440
decode_8_to_9,3,3669630976,1924026368,3669630976,7989940224,1202114048,1509949440,1503803392,1509949440
decode_8_to_9,4,3669630976,1924026368,3669630976,7989940224,1202118144,1509949440,1503803392,1509949440
decode_8_to_9,5,3669630976,1924026368,3669630976,7989940224,1202122240,1509949440,1503803392,1509949440
decode_8_to_9,6,3669630976,1924026368,3669630976,7989940224,1202126336,1509949440,1503803392,1509949440
decode_8_to_9,7,3669630976,1924026368,3669630976,7989940224,1202130432,1509949440,1503803392,1509949440
decode_8_to_9,8,3669630976,1924026368,3669630976,7989940224,1202134528,1509949440,1503803392,1509949440
decode_8_to_9,9,3669630976,1924026368,3669630976,7989940224,1202138624,1509949440,1503803392,1509949440
decode_8_to_9,10,3669630976,1924026368,3669630976,7989940224,1202142720,1509949440,1503803392,1509949440
decode_8_to_9,11,3669630976,1924026368,3669630976,7989940224,1202146816,1509949440,1503803392,1509949440
decode_8_to_9,12,3669630976,1924026368,3669630976,7989940224,1202150912,1509949440,1503803392,1509949440
decode_8_to_9,13,3669630976,1924026368,3669630976,7989940224,1202155008,1509949440,1503803392,1509949440
decode_8_to_9,14,3669630976,1924026368,3669630976,7989940224,1202159104,1509949440,1503803392,1509949440
decode_8_to_9,15,3669630976,1924026368,3669630976,7989940224,1202163200,1509949440,1503803392,1509949440
decode_8_to_9,16,3669630976,1924026368,3669630976,7989940224,1202167296,1509949440,1503803392,1509949440
decode_8_to_9,17,3669630976,1924026368,3669630976,7989940224,1202171392,1509949440,1503803392,1509949440
decode_8_to_9,18,3669630976,1924026368,3669630976,7989940224,1202175488,1509949440,1503803392,1509949440
decode_8_to_9,19,3669630976,1924026368,3669630976,7989940224,1202179584,1509949440,1503803392,1509949440
decode_8_to_9,20,3669630976,1924026368,3669630976,7989940224,1202183680,1509949440,1503803392,1509949440
decode_8_to_9,21,3669630976,1924026368,3669630976,7989940224,1202187776,1509949440,1503803392,1509949440
decode_8_to_9,22,3669630976,1924026368,3669630976,7989940224,1202191872,1509949440,1503803392,1509949440
decode_8_to_9,23,3669630976,1924026368,3669630976,7989940224,1202195968,1509949440,1503803392,1509949440
decode_8_to_9,24,3669630976,1924026368,3669630976,7989940224,1202200064,1509949440,1503803392,1509949440
decode_8_to_9,25,3669630976,1924026368,3669630976,7989940224,1202204160,1509949440,1503803392,1509949440
decode_8_to_9,26,3669630976,1924026368,3669630976,7989940224,1202208256,1509949440,1503803392,1509949440
decode_8_to_9,27,3669630976,1924026368,3669630976,7989940224,1202212352,1509949440,1503803392,1509949440
